YEAR,ROOKERY,COLONY,CAMERA,SPP,NEST,DATE,MAXN
2016-17,CS,3,3_2,3,3,12/4/2016,1
2016-17,CS,3,3_2,3,3,12/5/2016,1
2016-17,CS,3,3_2,3,3,12/6/2016,1
2016-17,CS,3,3_2,3,3,12/7/2016,1
2016-17,CS,3,3_2,3,3,12/8/2016,1
2016-17,CS,3,3_2,3,3,12/9/2016,1
2016-17,CS,3,3_2,3,3,12/10/2016,1
2016-17,CS,3,3_2,3,3,12/11/2016,1
2016-17,CS,3,3_2,3,3,12/12/2016,1
2016-17,CS,3,3_2,3,3,12/13/2016,1
2016-17,CS,3,3_2,3,3,12/14/2016,1
2016-17,CS,3,3_2,3,3,12/15/2016,1
2016-17,CS,3,3_2,3,3,12/16/2016,2
2016-17,CS,3,3_2,3,3,12/17/2016,1
2016-17,CS,3,3_2,3,3,12/18/2016,1
2016-17,CS,3,3_2,3,3,12/19/2016,1
2016-17,CS,3,3_2,3,3,12/20/2016,1
2016-17,CS,3,3_2,3,3,12/21/2016,1
2016-17,CS,3,3_2,3,3,12/22/2016,1
2016-17,CS,3,3_2,3,3,12/23/2016,1
2016-17,CS,3,3_2,3,3,12/24/2016,1
2016-17,CS,3,3_2,3,3,12/25/2016,1
2016-17,CS,3,3_2,3,3,12/26/2016,1
2016-17,CS,3,3_2,3,3,12/27/2016,1
2016-17,CS,3,3_2,3,3,12/28/2016,1
2016-17,CS,3,3_2,3,3,12/29/2016,1
